DDI-MedLine.d139.s0|DDI-MedLine.d139.s0.e0|DDI-MedLine.d139.s0.e1|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e1|1|effect
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e2|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e3|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e4|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e5|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e0|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e2|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e3|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e4|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e5|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e1|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e3|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e4|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e5|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e2|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e4|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e5|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e3|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e4|DDI-DrugBank.d225.s0.e5|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e4|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e4|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e4|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e4|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e5|DDI-DrugBank.d225.s0.e6|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e5|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e5|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e5|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e6|DDI-DrugBank.d225.s0.e7|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e6|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e6|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e7|DDI-DrugBank.d225.s0.e8|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e7|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s0|DDI-DrugBank.d225.s0.e8|DDI-DrugBank.d225.s0.e9|0|null
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e0|DDI-DrugBank.d225.s3.e1|0|null
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e0|DDI-DrugBank.d225.s3.e2|0|null
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e0|DDI-DrugBank.d225.s3.e3|0|null
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e1|DDI-DrugBank.d225.s3.e2|1|int
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e1|DDI-DrugBank.d225.s3.e3|0|null
DDI-DrugBank.d225.s3|DDI-DrugBank.d225.s3.e2|DDI-DrugBank.d225.s3.e3|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e1|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e2|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e3|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e4|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e5|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e6|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e7|0|null
DDI-DrugBank.d225.s6|DDI-DrugBank.d225.s6.e0|DDI-DrugBank.d225.s6.e8|0|null
